replicate,method,canonical_accuracy,canonical_macro_f1,canonical_log_loss,canonical_ece
23,Operator-aware logistic EM,0.531,0.5113468997322331,0.992878060632221,0.0256619615204367
23,Independent-threshold logistic,0.536,0.526346763923534,0.996516816396016,0.0257482018435116
24,PLA-BN (TAN),0.52,0.4956303947406227,1.0084185852965086,0.0324873676387549
24,PLA-BN (Naive Bayes),0.44725,0.4328916155595174,2.2220062420704827,0.2831230302636195
24,Representative-label TAN,0.3625,0.3033729821951706,1.2218315133604127,0.2077980081738107
24,Oracle-label TAN,0.53225,0.5108974575111889,0.9961125621646986,0.0101491209888018
24,Operator-aware logistic EM,0.519,0.4920764636394356,1.0053578290742533,0.0227236131717623
24,Independent-threshold logistic,0.52975,0.511290856903064,1.0109310928236173,0.0206722425764294
25,PLA-BN (TAN),0.52325,0.5064842956626382,1.0194097960933457,0.0474314816305603
25,PLA-BN (Naive Bayes),0.4365,0.4085694996581403,2.7744664556520493,0.2991649049887239
25,Representative-label TAN,0.37875,0.3180357511145001,1.2273330679168848,0.1925803262011618
25,Oracle-label TAN,0.5375,0.5186149944733174,1.001096614759346,0.0316042514673114
25,Operator-aware logistic EM,0.53525,0.516457819912861,1.0084999882928896,0.0238434769361349
25,Independent-threshold logistic,0.53075,0.519082347141506,1.0118841794302769,0.0362503789250105
26,PLA-BN (TAN),0.523,0.5132725370653854,0.9976777029703836,0.0287643322876797
26,PLA-BN (Naive Bayes),0.42475,0.4029134108528367,2.9862612339164736,0.3016906295728385
26,Representative-label TAN,0.3755,0.3006373190114824,1.2097462616750887,0.1920485591077964
26,Oracle-label TAN,0.53575,0.5250998452268275,0.9836478383272402,0.0114783043830983
26,Operator-aware logistic EM,0.53275,0.5170183644679628,0.9931730556672888,0.0176685012793858
26,Independent-threshold logistic,0.52675,0.5172282876743342,0.9997728946756512,0.0221142210493223
27,PLA-BN (TAN),0.52025,0.4922199898721697,1.0185319157029744,0.0372243799015342
27,PLA-BN (Naive Bayes),0.42575,0.4032737171228951,2.783866460519328,0.3111690910180479
27,Representative-label TAN,0.37525,0.3127778298647869,1.2066266301672088,0.1826227296510557
27,Oracle-label TAN,0.52425,0.5020245579161494,1.0037134288734486,0.0195505584463779
27,Operator-aware logistic EM,0.51525,0.4785493296361092,1.0152873968732388,0.0235193730126536
27,Independent-threshold logistic,0.5195,0.4934549634762149,1.023409865672133,0.0326100674084745
28,PLA-BN (TAN),0.5265,0.5058812380103872,0.9974480420905124,0.0306183738588146
28,PLA-BN (Naive Bayes),0.4115,0.3971137086317542,2.876165724016779,0.2995269861244363
28,Representative-label TAN,0.37925,0.319070503593236,1.2112634829724156,0.1860243035885156
28,Oracle-label TAN,0.53525,0.5160639797507008,0.9922595568352344,0.0254658993739158
28,Operator-aware logistic EM,0.533,0.5055359458759232,0.9924018050713966,0.0251700195323778
28,Independent-threshold logistic,0.53,0.5107586040028205,0.998537195815052,0.0214309817668152
29,PLA-BN (TAN),0.52825,0.5118458066846173,0.9959566839714596,0.0324282665576429
29,PLA-BN (Naive Bayes),0.45375,0.4413974396979684,2.3748045080738778,0.2927305002147413
29,Representative-label TAN,0.3705,0.3137373065125165,1.2181396458767375,0.2045335659909748
29,Oracle-label TAN,0.544,0.5194662264781023,0.9854870269945948,0.0076847013612947
29,Operator-aware logistic EM,0.53425,0.5168468380796002,0.9912581168074958,0.0276193673900012
29,Independent-threshold logistic,0.53475,0.5228061967457849,0.9988774044031088,0.0417338055151654
